source,allsides_rate,community_rate,community_total,community_agree,community_disagree,community_agree_prop
Leesburg Today ,Lean Right,somewhat agree,490,254,236,0.5183673469387755
Left - Major Media Sources ,Left,somewhat agree,1075,608,467,0.5655813953488372
Left Guest Commentaries ,Left,somewhat disagree,249,117,132,0.46987951807228917
Leonard Pitts Jr ,Left,somewhat agree,217,124,93,0.5714285714285714
LGBTQ Nation ,Lean Left,absolutely disagree,226,52,174,0.23008849557522124
Lifehacker ,Center,somewhat agree,787,399,388,0.5069885641677255
Lisa Benson (cartoonist) ,Right,somewhat agree,143,74,69,0.5174825174825175
Lisa Gable ,Right,somewhat disagree,138,67,71,0.4855072463768116
Listen First Project ,Mixed,somewhat agree,299,163,136,0.5451505016722408
Live Action News ,Lean Right,somewhat agree,586,344,242,0.5870307167235495
Live Science ,Center,somewhat agree,88,49,39,0.5568181818181818
Long Beach Press-Telegram ,Center,strongly disagree,33,10,23,0.30303030303030304
Longmont Times-Call ,Lean Left,somewhat agree,414,222,192,0.5362318840579711
Los Angeles Daily News ,Center,absolutely disagree,66,14,52,0.21212121212121213
Los Angeles Times ,Lean Left,somewhat agree,8154,4705,3449,0.5770174147657592
Louisville Courier-Journal ,Lean Left,somewhat disagree,494,242,252,0.4898785425101215
Lucy Pinto ,Lean Left,strongly disagree,10,3,7,0.3
Making Sense ,Center,agree,33,20,13,0.6060606060606061
Manhattan Institute ,Lean Right,somewhat disagree,567,248,319,0.43738977072310403
Marc A. Thiessen ,Right,agree,700,440,260,0.6285714285714286
Marc Joffe ,Lean Right,,8,4,4,0.5
Marcia Beckford ,Lean Left,,14,7,7,0.5
Marijuana Moment ,Lean Left,somewhat agree,45,26,19,0.5777777777777777
Mario Nicolais ,Lean Right,somewhat disagree,14,6,8,0.42857142857142855
Mark Begich ,Left,somewhat agree,167,90,77,0.5389221556886228
Mark Gerzon ,Center,somewhat disagree,121,55,66,0.45454545454545453
Mark Hertsgaard ,Lean Left,,14,7,7,0.5
Mark Mix ,Right,agree,188,113,75,0.601063829787234
Mark Morford ,Left,agree,91,56,35,0.6153846153846154
MarketWatch ,Center,strongly disagree,1189,336,853,0.28259041211101765
Marshall Ramsey (cartoonist) ,Center,somewhat agree,148,80,68,0.5405405405405406
Martin Luther King III ,Lean Left,somewhat agree,48,25,23,0.5208333333333334
Mary O'Grady ,Right,somewhat disagree,159,67,92,0.42138364779874216
Mashable ,Left,strongly agree,799,559,240,0.6996245306633292
Masih Alinejad ,Center,somewhat agree,64,36,28,0.5625
Matt Bors (cartoonist) ,Left,strongly agree,91,66,25,0.7252747252747253
Matt Byrne ,Center,,2,1,1,0.5
Matt Davies (cartoonist) ,Left,agree,166,110,56,0.6626506024096386
Matt Drudge ,Right,somewhat agree,758,387,371,0.5105540897097626
Matt Towery ,Lean Right,somewhat agree,129,71,58,0.5503875968992248
Matt Welch ,Lean Right,disagree,275,104,171,0.3781818181818182
Matt Wuerker (cartoonist) ,Left,somewhat agree,158,93,65,0.5886075949367089
Matthew Walther ,Lean Right,absolutely agree,109,90,19,0.8256880733944955
Maureen Dowd ,Center,strongly disagree,779,203,576,0.2605905006418485
Max Karlin ,Lean Right,somewhat agree,14,8,6,0.5714285714285714
McClatchyDC ,Center,somewhat disagree,247,105,142,0.4251012145748988
Media Matters ,Left,agree,4597,2927,1670,0.6367195997389602
Media Research Center ,Right,somewhat disagree,3082,1403,1679,0.4552238805970149
Mediaite ,Lean Left,somewhat agree,1673,844,829,0.5044829647340108
Mercatus Center ,Lean Right,somewhat agree,29,15,14,0.5172413793103449
Miami Herald ,Lean Left,somewhat disagree,801,394,407,0.4918851435705368
Micaela Ricaforte ,Center,strongly disagree,12,4,8,0.3333333333333333
Michael Barone ,Lean Right,somewhat agree,276,156,120,0.5652173913043478
Michael Brendan Dougherty ,Lean Right,somewhat disagree,272,131,141,0.48161764705882354
Michael Gerson ,Lean Right,somewhat agree,305,169,136,0.5540983606557377
Michael Goodwin ,Right,absolutely agree,357,275,82,0.7703081232492998
Michael Graham ,Right,somewhat disagree,100,44,56,0.44
Michael Kinsley ,Left,somewhat agree,218,129,89,0.591743119266055
Michael Medved ,Right,somewhat disagree,351,149,202,0.42450142450142453
Michael Ramirez (cartoonist) ,Right,somewhat disagree,228,111,117,0.4868421052631579
Michael Strong ,Lean Right,somewhat disagree,14,6,8,0.42857142857142855
Michael Tauberg ,Center,,0,0,0,
Michelle Alexander ,Lean Left,somewhat agree,187,96,91,0.5133689839572193
Michelle Goldberg ,Left,somewhat agree,193,101,92,0.5233160621761658
Michelle Malkin ,Right,strongly agree,709,480,229,0.6770098730606487
MichelleMalkin.com ,Right,strongly agree,958,639,319,0.6670146137787056
Michigan Daily ,Lean Left,somewhat agree,532,276,256,0.518796992481203
Mike Huckabee ,Lean Right,somewhat disagree,140,67,73,0.4785714285714286
Mike Lester (cartoonist) ,Right,somewhat agree,72,42,30,0.5833333333333334
Mike Luckovich (cartoonist) ,Left,somewhat agree,253,135,118,0.5335968379446641
Mike Pence ,Right,absolutely agree,307,237,70,0.7719869706840391
Mike Thompson (cartoonist) ,Center,somewhat disagree,158,70,88,0.4430379746835443
Military Times ,Center,,188,94,94,0.5
Miranda Devine ,Right,strongly agree,26,19,7,0.7307692307692307
Mises Institute ,Lean Right,agree,70,46,24,0.6571428571428571
Misinformation Review ,Center,somewhat disagree,35,17,18,0.4857142857142857
Mismatch.org ,Mixed,somewhat disagree,239,116,123,0.48535564853556484
MIT News ,Center,somewhat agree,517,281,236,0.5435203094777563
Mitú ,Left,somewhat agree,35,20,15,0.5714285714285714
Morgan Jacobsen ,Center,somewhat disagree,189,83,106,0.43915343915343913
Mother Jones ,Left,absolutely agree,15326,13359,1967,0.871656009395798
MSNBC ,Left,absolutely agree,22655,17868,4787,0.7887000662105496
MTV News Online ,Lean Left,disagree,356,134,222,0.37640449438202245
Multiple Writers - Center ,Center,disagree,29,10,19,0.3448275862068966
Multiple Writers - Lean Left ,Lean Left,agree,8,5,3,0.625
Multiple Writers - Lean Right ,Lean Right,somewhat disagree,15,7,8,0.4666666666666667
Multiple Writers - Left ,Left,absolutely agree,5,5,0,1.0
Multiple Writers - Mixed ,Mixed,somewhat disagree,24,11,13,0.4583333333333333
Multiple Writers - Right ,Right,strongly agree,11,8,3,0.7272727272727273
NAACP ,Lean Left,disagree,1040,358,682,0.34423076923076923
National Committee to Preserve Social Security and Medicare ,Left,somewhat agree,526,278,248,0.5285171102661597
National Constitution Center ,Center,somewhat agree,172,96,76,0.5581395348837209
National Geographic ,Center,somewhat agree,127,73,54,0.5748031496062992
National Interest ,Center,disagree,581,229,352,0.39414802065404475
National Journal ,Center,somewhat agree,1817,1033,784,0.5685195376995047
National Review ,Right,strongly agree,23869,16918,6951,0.7087854539360677
Nature.com ,Center,agree,149,96,53,0.6442953020134228
NBC News (Online) ,Lean Left,somewhat disagree,21103,10501,10602,0.49760697531156706
NBC Today Show ,Lean Left,somewhat disagree,3097,1514,1583,0.488860187278011
Neal K. Katyal ,Lean Left,somewhat agree,65,36,29,0.5538461538461539
Neil J. Young ,Lean Left,somewhat disagree,133,62,71,0.46616541353383456
Neil Patel ,Right,strongly agree,7,5,2,0.7142857142857143
New Discourses ,Center,agree,132,83,49,0.6287878787878788
New Economy Working Group ,Lean Left,somewhat agree,198,113,85,0.5707070707070707
New Hampshire Union Leader ,Center,somewhat disagree,118,54,64,0.4576271186440678
New Republic ,Left,agree,2414,1590,824,0.6586578293289147
New York Daily News ,Left,strongly agree,2005,1381,624,0.6887780548628429
New York Magazine ,Left,strongly agree,3120,2176,944,0.6974358974358974
New York Post (News) ,Lean Right,agree,18448,11870,6578,0.6434301821335646
New York Post (Opinion) ,Right,strongly agree,266,188,78,0.706766917293233
New York Times (News) ,Lean Left,somewhat disagree,62136,26185,35951,0.4214143169821038
New York Times (Opinion) ,Left,absolutely agree,15246,11959,3287,0.784402466220648
News Literacy Project ,Center,somewhat agree,32,18,14,0.5625
NewsBusters ,Right,agree,790,511,279,0.6468354430379747
Newsmax (News) ,Lean Right,somewhat disagree,19784,9382,10402,0.4742215932066316
Newsmax - Opinion ,Right,strongly agree,476,350,126,0.7352941176470589
NewsOne ,Left,strongly agree,308,221,87,0.7175324675324676
Newsweek ,Center,somewhat disagree,6806,2939,3867,0.43182486041727886
Newsy ,Center,strongly agree,354,252,102,0.711864406779661
Newt Gingrich ,Right,strongly agree,1010,731,279,0.7237623762376237
Newtrals ,Center,strongly agree,26,18,8,0.6923076923076923
Nicholas Kristof ,Left,somewhat agree,544,287,257,0.5275735294117647
Nick Anderson (cartoonist) ,Center,somewhat disagree,130,56,74,0.4307692307692308
Nieman Lab ,Center,somewhat disagree,127,62,65,0.4881889763779528
NMPolitics.net ,Center,somewhat disagree,510,224,286,0.4392156862745098
No Labels ,Center,somewhat agree,258,138,120,0.5348837209302325
Noah Rothman ,Lean Right,somewhat agree,112,64,48,0.5714285714285714
NPR (Online News) ,Center,somewhat agree,55167,29308,25859,0.5312596298511791
NPR (Opinion)  ,Lean Left,somewhat disagree,14713,6966,7747,0.4734588459185754
One America News Network (OAN) ,Right,agree,3406,2086,1320,0.6124486200822079
OpenSecrets.org ,Center,somewhat agree,1029,596,433,0.5792031098153547
Orange County Register ,Lean Right,somewhat agree,652,361,291,0.553680981595092
Our.News ,Center,somewhat agree,7,4,3,0.5714285714285714
Outkick the Coverage ,Center,absolutely disagree,22,5,17,0.22727272727272727
Pacific Research Institute ,Right,somewhat disagree,397,197,200,0.49622166246851385
Pacific Standard ,Lean Left,somewhat agree,821,432,389,0.5261875761266748
Palm Springs Desert Sun ,Center,absolutely disagree,17,4,13,0.23529411764705882
Pasadena Star-News ,Center,somewhat agree,26,15,11,0.5769230769230769
Pat Buchanan ,Right,strongly agree,233,169,64,0.7253218884120172
Pat Oliphant (cartoonist) ,Center,somewhat disagree,147,71,76,0.48299319727891155
Patch.com ,Center,strongly disagree,50,16,34,0.32
Paul Brandus ,Center,somewhat disagree,7,3,4,0.42857142857142855
Paul Krugman ,Left,agree,878,559,319,0.6366742596810934
Paul Szep (cartoonist) ,Center,,134,67,67,0.5
Paul Volcker ,Center,somewhat agree,111,61,50,0.5495495495495496
PBS NewsHour ,Center,somewhat agree,5661,3276,2385,0.5786963434022258
Peacock Panache ,Left,agree,326,210,116,0.6441717791411042
Pedro Silva ,Center,somewhat disagree,17,8,9,0.47058823529411764
Peggy Noonan ,Right,disagree,889,342,547,0.3847019122609674
People for the American Way ,Left,agree,449,280,169,0.623608017817372
Peter Roff ,Lean Right,strongly agree,508,343,165,0.6751968503937008
Peter Thiel ,Lean Right,somewhat disagree,193,86,107,0.44559585492227977
Pew Research Center ,Center,agree,3185,1924,1261,0.6040816326530613
Phillip Bader ,Center,absolutely disagree,6,1,5,0.16666666666666666
Phys.org ,Center,agree,294,191,103,0.6496598639455783
Physicians for a National Health Program ,Left,somewhat agree,357,213,144,0.5966386554621849
Piers Morgan ,Lean Left,disagree,977,345,632,0.353121801432958
PinkNews ,Left,absolutely agree,93,75,18,0.8064516129032258
Pittsburgh Post-Gazette ,Lean Right,somewhat disagree,718,335,383,0.46657381615598886
PJ Media ,Right,strongly agree,927,655,272,0.7065803667745415
Politico ,Lean Left,somewhat disagree,49874,21517,28357,0.4314271965352689
PoliticusUSA ,Left,strongly agree,1468,1093,375,0.7445504087193461
PolitiFact ,Lean Left,somewhat agree,9272,5193,4079,0.5600733390854185
Portland Press Herald ,Center,somewhat disagree,669,271,398,0.40508221225710017
Poynter ,Center,strongly disagree,294,98,196,0.3333333333333333
Prager University ,Right,absolutely agree,4007,3244,763,0.8095832293486399
PRI (Public Radio International) ,Center,agree,1283,778,505,0.6063912704598597
Progressive Voices of Iowa ,Left,agree,414,258,156,0.6231884057971014
Project Veritas ,Lean Right,somewhat disagree,674,315,359,0.46735905044510384
ProPublica ,Lean Left,somewhat agree,2587,1541,1046,0.5956706609972942
Psychology Today ,Center,,176,88,88,0.5
PXW News ,Center,somewhat disagree,437,212,225,0.4851258581235698
Quartz ,Center,somewhat disagree,1376,675,701,0.49055232558139533
Quillette ,Lean Right,disagree,1330,520,810,0.39097744360902253
Quinnipiac University ,Center,disagree,682,248,434,0.36363636363636365
Rachel Eckhardt ,Lean Left,somewhat disagree,144,64,80,0.4444444444444444
Rahm Emanuel ,Lean Left,absolutely disagree,295,69,226,0.23389830508474577
Ralph Benko ,Right,somewhat disagree,205,88,117,0.4292682926829268
Ramesh Ponnuru ,Right,somewhat agree,287,163,124,0.5679442508710801
RAND Corporation ,Lean Left,somewhat disagree,1157,484,673,0.41832324978392393
Rand Paul ,Lean Right,somewhat agree,996,533,463,0.535140562248996
Rasmussen Reports ,Center,somewhat disagree,1512,619,893,0.4093915343915344
Raw Story ,Left,strongly agree,1683,1168,515,0.6939988116458705
RealClearPolitics ,Center,somewhat disagree,9332,4228,5104,0.4530647235319331
Reason ,Lean Right,agree,13594,8429,5165,0.6200529645431808
Reason Foundation ,Lean Right,somewhat disagree,419,195,224,0.46539379474940334
Record Journal ,Center,somewhat disagree,339,163,176,0.4808259587020649
Red Racing Horses ,Right,somewhat disagree,112,51,61,0.45535714285714285
Red State ,Right,strongly agree,1129,827,302,0.7325066430469442
RedBlueDictionary.org ,Mixed,somewhat agree,288,159,129,0.5520833333333334
redefinED ,Center,agree,243,155,88,0.6378600823045267
Redlands Daily Facts ,Center,disagree,17,6,11,0.35294117647058826
Refinery29 ,Left,agree,71,47,24,0.6619718309859155
Rem Reider ,Center,somewhat disagree,214,100,114,0.4672897196261682
Reuters ,Center,agree,24295,15821,8474,0.6512039514303355
Rev. Jesse Jackson Sr. ,Left,absolutely agree,661,534,127,0.8078668683812406
Rich Lowry ,Right,somewhat agree,556,292,264,0.5251798561151079
Rich Tafel ,Center,somewhat agree,171,90,81,0.5263157894736842
Rich Zeoli ,Lean Right,somewhat agree,189,106,83,0.5608465608465608
Richard M. Cohen ,Lean Left,somewhat agree,90,50,40,0.5555555555555556
Richmond Times Dispatch ,Lean Right,somewhat agree,534,285,249,0.5337078651685393
Rick Snyder ,Lean Right,somewhat disagree,16,7,9,0.4375
Rick Ungar ,Lean Left,somewhat agree,322,169,153,0.5248447204968945
Rick Wytmar ,Lean Left,,16,8,8,0.5
Right - Major Media Sources ,Right,somewhat agree,637,327,310,0.5133437990580848
Right Guest Commentaries ,Right,somewhat agree,156,89,67,0.5705128205128205
Right Side News ,Right,agree,757,503,254,0.6644649933949802
Right Wing News ,Right,strongly agree,660,442,218,0.6696969696969697
Rob Rogers (cartoonist) ,Left,absolutely agree,117,93,24,0.7948717948717948
Robert Ariail (cartoonist) ,Center,somewhat disagree,164,77,87,0.4695121951219512
Robert Samuelson ,Center,somewhat disagree,285,133,152,0.4666666666666667
Robert Verbruggen ,Lean Right,somewhat disagree,9,4,5,0.4444444444444444
Rod Blagojevich ,Center,absolutely disagree,153,26,127,0.16993464052287582
Rolf Hendriks ,Center,somewhat agree,19,10,9,0.5263157894736842
Roll Call ,Center,somewhat agree,432,227,205,0.5254629629629629
RollingStone.com ,Left,absolutely agree,2286,1784,502,0.7804024496937882
Ron Suskind ,Center,strongly agree,4,3,1,0.75
Ross Douthat ,Lean Right,agree,351,215,136,0.6125356125356125
Russell Brandom ,Center,absolutely disagree,17,4,13,0.23529411764705882
Ruth Marcus ,Lean Left,somewhat disagree,390,194,196,0.49743589743589745
Ryan Cooper ,Left,somewhat agree,197,117,80,0.5939086294416244
Ryan Cooper ,Left,absolutely agree,637,514,123,0.8069073783359497
S.E. Cupp ,Lean Right,disagree,214,80,134,0.37383177570093457
Saagar Enjeti ,Center,somewhat agree,258,130,128,0.5038759689922481
Sally Pipes ,Right,strongly agree,428,292,136,0.6822429906542056
Salon ,Left,strongly agree,16664,11498,5166,0.6899903984637542
Sam Harris ,Center,agree,73,44,29,0.6027397260273972
Samantha Shireman ,Lean Left,,6,3,3,0.5
San Bernardino Sun ,Center,strongly agree,22,16,6,0.7272727272727273
San Diego Union-Tribune ,Lean Left,somewhat disagree,37,18,19,0.4864864864864865
San Francisco Chronicle ,Left,strongly agree,1448,1053,395,0.7272099447513812
San Gabriel Valley Tribune ,Center,somewhat agree,34,19,15,0.5588235294117647
San Jose Mercury News ,Lean Left,somewhat disagree,974,479,495,0.4917864476386037
SBG ,Center,somewhat agree,141,72,69,0.5106382978723404
Science Daily ,Center,agree,895,555,340,0.6201117318435754
Scientific American ,Lean Left,agree,2370,1537,833,0.6485232067510549
Scott Adams ,Center,somewhat disagree,165,80,85,0.48484848484848486
Scott Jennings ,Lean Right,somewhat agree,105,60,45,0.5714285714285714
Scott Stantis (cartoonist) ,Right,somewhat disagree,144,62,82,0.4305555555555556
SCOTUSblog ,Center,somewhat agree,32,19,13,0.59375
Scriberr Media - News ,Center,agree,88,53,35,0.6022727272727273
Scriberr Media - Opinion/Editorial ,Lean Right,somewhat agree,24,13,11,0.5416666666666666
SF Weekly ,Center,somewhat disagree,667,294,373,0.4407796101949025
SFGate ,Lean Left,somewhat disagree,1091,528,563,0.48395967002749773
Shannon Mannon ,Lean Left,somewhat disagree,11,5,6,0.45454545454545453
Signe Wilkinson (cartoonist) ,Left,somewhat agree,82,49,33,0.5975609756097561
Sky-Hi Daily News ,Lean Left,somewhat agree,341,173,168,0.5073313782991202
Slate ,Left,strongly agree,11445,8197,3248,0.7162079510703364
Small World (cartoonist) ,Left,somewhat disagree,71,35,36,0.49295774647887325
Smerconish ,Center,somewhat disagree,504,222,282,0.44047619047619047
Smithsonian Magazine ,Center,agree,102,64,38,0.6274509803921569
Snopes ,Center,strongly disagree,4913,1491,3422,0.303480561774883
Socialist Alternative ,Left,strongly agree,726,503,223,0.6928374655647382
Socialist Project/The Bullet ,Left,strongly agree,642,443,199,0.6900311526479751
South China Morning Post ,Center,strongly disagree,57,16,41,0.2807017543859649
Spectator USA ,Right,agree,191,122,69,0.6387434554973822
Spiked ,Lean Right,somewhat agree,55,28,27,0.509090909090909
Splinter ,Left,strongly agree,352,240,112,0.6818181818181818
Spokesman Review ,Lean Left,somewhat disagree,543,248,295,0.4567219152854512
Spread Great Ideas ,Center,,0,0,0,
Stacey Abrams ,Lean Left,strongly disagree,276,76,200,0.2753623188405797
State Journal ,Lean Left,somewhat disagree,493,205,288,0.4158215010141988
Steve Benson (cartoonist) ,Left,somewhat agree,164,86,78,0.524390243902439
Steve Breen (cartoonist) ,Center,somewhat agree,137,77,60,0.5620437956204379
Steve Forbes ,Lean Right,somewhat agree,152,91,61,0.5986842105263158
Steve Kelley (cartoonist) ,Right,somewhat disagree,83,41,42,0.4939759036144578
Steve Sack (cartoonist) ,Left,agree,110,71,39,0.6454545454545455
Steven Petrow ,Center,absolutely disagree,13,3,10,0.23076923076923078
Stimson Center ,Center,somewhat agree,9,5,4,0.5555555555555556
StoryCorps ,Mixed,somewhat agree,187,102,85,0.5454545454545454
Stuart Carlson (cartoonist) ,Left,somewhat disagree,109,50,59,0.45871559633027525
Students For Life ,Lean Right,somewhat disagree,39,17,22,0.4358974358974359
Subverse ,Center,agree,191,122,69,0.6387434554973822
Sukhayl Niyazov ,Center,somewhat disagree,11,5,6,0.45454545454545453
Sunlight Foundation ,Center,somewhat disagree,297,135,162,0.45454545454545453
Suspend Belief Podcast ,Mixed,somewhat disagree,368,170,198,0.46195652173913043
Tallahassee Democrat ,Center,somewhat disagree,574,279,295,0.48606271777003485
Tara Parekh ,Lean Left,,8,4,4,0.5
Tech Xplore ,Center,,24,12,12,0.5
TechCrunch ,Center,somewhat agree,806,478,328,0.5930521091811415
Ted Rall (cartoonist) ,Left,somewhat agree,117,67,50,0.5726495726495726
Teen Vogue ,Lean Left,disagree,1001,397,604,0.3966033966033966
The Advocate ,Lean Left,disagree,48,18,30,0.375
The Advocate-Messenger ,Lean Left,somewhat disagree,462,206,256,0.4458874458874459
The American Conservative ,Lean Right,somewhat disagree,603,297,306,0.4925373134328358
The American Mind ,Lean Right,somewhat agree,59,30,29,0.5084745762711864
The American Spectator ,Right,strongly agree,15074,11198,3876,0.7428685153243997
The Appeal ,Center,somewhat agree,172,96,76,0.5581395348837209
The Atlantic ,Lean Left,agree,19665,12889,6776,0.6554284261378083
The Bellows ,Center,strongly disagree,9,3,6,0.3333333333333333
The Boston Globe ,Lean Left,somewhat agree,2958,1691,1267,0.5716700473292765
The Bulwark ,Lean Right,somewhat agree,89,51,38,0.5730337078651685
The Cadiz Record ,Lean Left,somewhat disagree,390,193,197,0.4948717948717949
The Canyon County Zephyr ,Left,somewhat agree,340,187,153,0.55
The Catalyst ,Lean Right,somewhat disagree,19,9,10,0.47368421052631576
The Center for American Progress ,Lean Left,strongly disagree,40,12,28,0.3
The Center Square - Michigan ,Center,disagree,204,75,129,0.36764705882352944
The Christian Post ,Lean Right,somewhat agree,25,14,11,0.56
The College Fix ,Right,somewhat agree,415,237,178,0.5710843373493976
The Colorado Sun ,Lean Left,somewhat agree,42,23,19,0.5476190476190477
The Commercial Appeal ,Lean Left,somewhat disagree,417,179,238,0.4292565947242206
The Courier-Journal ,Lean Left,somewhat disagree,526,214,312,0.4068441064638783
The Daily Caller ,Right,strongly agree,12503,8906,3597,0.712309045829001
The Daily Dot ,Lean Left,somewhat agree,211,112,99,0.5308056872037915
The Daily Signal ,Right,strongly agree,673,481,192,0.7147102526002972
The Daily Wire ,Right,strongly agree,11861,8705,3156,0.7339178821347273
The Dallas Morning News ,Center,somewhat agree,412,215,197,0.5218446601941747
The Delaware County Daily Times ,Lean Left,somewhat disagree,463,214,249,0.46220302375809935
The Dispatch ,Lean Right,agree,247,158,89,0.6396761133603239
The Economist ,Lean Left,disagree,13474,4844,8630,0.35950719905002226
The Epoch Times ,Lean Right,strongly agree,13573,9589,3984,0.706476092241951
The Federalist ,Right,absolutely agree,10193,7787,2406,0.7639556558422447
The Flip Side ,Mixed,somewhat agree,689,399,290,0.579100145137881
The Fulcrum ,Center,somewhat agree,271,139,132,0.5129151291512916
The Gateway Pundit ,Right,agree,1393,904,489,0.6489590811198851
The Globe and Mail ,Center,somewhat disagree,231,108,123,0.4675324675324675
The Guardian ,Lean Left,agree,19032,11951,7081,0.6279424127784784
The Heritage Foundation ,Lean Right,agree,4422,2827,1595,0.6393034825870647
The Hill ,Center,somewhat disagree,32750,14154,18596,0.4321832061068702
The Hollywood Reporter ,Lean Left,somewhat agree,56,29,27,0.5178571428571429
The Imaginative Conservative ,Right,somewhat agree,138,82,56,0.5942028985507246
The Independent ,Lean Left,somewhat agree,765,444,321,0.5803921568627451
The Intercept ,Left,absolutely agree,5798,4488,1310,0.774060020696792
The Japan Times ,Center,agree,26,16,10,0.6153846153846154
The Jerusalem Post ,Center,,492,246,246,0.5
The Juggernaut ,Left,agree,18,11,7,0.6111111111111112
The Justice ,Lean Left,somewhat disagree,314,153,161,0.4872611464968153
The Korea Herald ,Center,somewhat agree,349,204,145,0.5845272206303725
The Libertarian Republic ,Lean Right,somewhat agree,1602,874,728,0.5455680399500624
The Lincoln Project ,Mixed,absolutely disagree,145,27,118,0.18620689655172415
The Lufkin Daily News ,Center,agree,11,7,4,0.6363636363636364
The Maneater ,Lean Left,somewhat agree,17,10,7,0.5882352941176471
The Markup ,Center,somewhat disagree,17,7,10,0.4117647058823529
The Marshall Project ,Center,somewhat disagree,83,34,49,0.40963855421686746
The Nation ,Left,absolutely agree,1879,1427,452,0.7594465141032464
The National Pulse ,Right,absolutely agree,430,350,80,0.813953488372093
The New Yorker ,Left,absolutely agree,9863,7945,1918,0.8055358410220014
The Observer (New York) ,Center,disagree,663,241,422,0.363499245852187
The Onion (Humor) ,Lean Left,agree,398,258,140,0.6482412060301508
The Oracle ,Center,somewhat disagree,235,104,131,0.4425531914893617
The Oregonian ,Center,strongly disagree,86,24,62,0.27906976744186046
The Philadelphia Inquirer ,Lean Left,somewhat agree,410,206,204,0.5024390243902439
The Plebeian ,Lean Left,somewhat agree,65,34,31,0.5230769230769231
The Police Tribune ,Lean Right,somewhat agree,78,46,32,0.5897435897435898
The Post Millennial ,Lean Right,somewhat agree,486,290,196,0.5967078189300411
The Press-Enterprise ,Lean Right,disagree,17,6,11,0.35294117647058826
The Red and Black ,Center,somewhat agree,320,187,133,0.584375
The Reliable Bias ,Center,somewhat disagree,313,140,173,0.4472843450479233
The Reporters Committee for Freedom of the Press ,Center,somewhat agree,30,18,12,0.6
The Republican ,Center,strongly disagree,724,235,489,0.324585635359116
The Resurgent ,Right,somewhat agree,229,131,98,0.5720524017467249
The Root ,Lean Left,somewhat disagree,864,393,471,0.4548611111111111
The Sacramento Bee ,Lean Left,somewhat disagree,725,333,392,0.4593103448275862
The Saturday Evening Post ,Center,somewhat agree,360,209,151,0.5805555555555556
The Seattle Times ,Center,disagree,427,155,272,0.3629976580796253
The Sierra Club ,Lean Left,somewhat disagree,402,163,239,0.4054726368159204
The Telegraph - UK ,Lean Right,strongly agree,2097,1411,686,0.6728659990462565
The Tennesseean ,Center,somewhat agree,11,6,5,0.5454545454545454
The Texan ,Lean Right,somewhat agree,213,123,90,0.5774647887323944
The Texas Observer ,Lean Left,somewhat disagree,129,62,67,0.4806201550387597
The Texas Tribune ,Lean Left,agree,344,225,119,0.6540697674418605
The Thread ,Mixed,somewhat agree,75,38,37,0.5066666666666667
The Verge ,Lean Left,agree,1218,742,476,0.6091954022988506
The Week - News ,Center,somewhat agree,6653,3641,3012,0.5472719074101909
The Week - Opinion ,Lean Left,somewhat agree,249,141,108,0.5662650602409639
The Weekly Standard ,Right,agree,2165,1346,819,0.6217090069284065
The Western Journal ,Right,strongly agree,2096,1561,535,0.7447519083969466
TheBlaze.com ,Right,somewhat agree,171330,94340,76990,0.5506332808031285
ThinkProgress ,Left,absolutely agree,3627,2732,895,0.7532395919492694
Thomas Frank ,Lean Left,somewhat disagree,325,155,170,0.47692307692307695
Thomas L. Friedman ,Lean Left,somewhat disagree,134,54,80,0.40298507462686567
Thomas Sowell ,Lean Right,agree,703,424,279,0.6031294452347084
Tim Groseclose ,Lean Right,agree,167,101,66,0.6047904191616766
Tim Pool ,Center,somewhat disagree,2452,1127,1325,0.4596247960848287
Time Magazine ,Lean Left,somewhat agree,15131,8234,6897,0.5441808208314057
Tom Cole ,Right,somewhat agree,285,165,120,0.5789473684210527
Tom Nichols ,Lean Right,,124,62,62,0.5
Tom Toles (cartoonist) ,Left,somewhat agree,177,93,84,0.5254237288135594
Tony Auth (cartoonist) ,Left,somewhat agree,119,66,53,0.5546218487394958
Tonya Russell ,Lean Left,somewhat agree,22,12,10,0.5454545454545454
Townhall ,Right,somewhat disagree,23462,9513,13949,0.40546415480351206
Truth or Fiction  ,Center,somewhat agree,592,318,274,0.5371621621621622
Truthdig ,Left,strongly agree,134,90,44,0.6716417910447762
TruthOut ,Lean Left,somewhat disagree,823,407,416,0.4945321992709599
Tucker Carlson ,Right,strongly agree,932,669,263,0.7178111587982833
U.S. News & World Report ,Lean Left,somewhat disagree,3601,1732,1869,0.48097750624826435
United States Courts ,Center,somewhat disagree,521,217,304,0.4165067178502879
Univision ,Lean Left,somewhat disagree,1042,516,526,0.4952015355086372
Upworthy ,Left,somewhat agree,836,498,338,0.5956937799043063
Urban Institute ,Lean Left,somewhat agree,993,552,441,0.5558912386706949
USA TODAY ,Center,somewhat disagree,35103,17007,18096,0.48448850525596104
Vanity Fair ,Lean Left,agree,6009,3636,2373,0.6050923614578133
Variety ,Center,disagree,32,11,21,0.34375
Vice ,Left,absolutely agree,3168,2498,670,0.788510101010101
Victor Hanson ,Lean Right,somewhat disagree,448,221,227,0.49330357142857145
Virginia Mercury ,Center,somewhat disagree,76,37,39,0.4868421052631579
Voice of America ,Center,somewhat agree,248,125,123,0.5040322580645161
Volante ,Center,somewhat disagree,344,166,178,0.48255813953488375
