source,source_type,allsides_rate,community_rate,community_total,community_agree,community_disagree,community_agree_prop
Vote Smart,thinktankpolicy,center,somewhat disagree,467,229,238,0.49036402569593146
Whitehouse.gov,thinktankpolicy,lean right,somewhat disagree,1159,517,642,0.4460742018981881
World Wildlife,thinktankpolicy,center,somewhat agree,24,13,11,0.5416666666666666
American Psychological Association,reference,center,somewhat disagree,306,127,179,0.4150326797385621
Ammo.com,reference,right,somewhat agree,138,77,61,0.5579710144927537
Ballotpedia,reference,center,somewhat agree,1054,626,428,0.5939278937381404
Chicago Booth Initiative on Global Markets,reference,mixed,somewhat agree,476,240,236,0.5042016806722689
Countable,reference,center,somewhat disagree,233,116,117,0.4978540772532189
DetectFakeNews.com,reference,center,disagree,42,15,27,0.35714285714285715
Face the Facts USA,reference,center,disagree,677,268,409,0.39586410635155095
First Draft News,reference,center,,38,19,19,0.5
Gallup,reference,center,somewhat agree,1197,641,556,0.5355054302422724
Human Rights Watch,reference,center,disagree,120,48,72,0.4
Just Facts,reference,center,somewhat disagree,156,67,89,0.42948717948717946
National Constitution Center,reference,center,somewhat agree,172,96,76,0.5581395348837209
News Literacy Project,reference,center,somewhat agree,32,18,14,0.5625
Pew Research Center,reference,center,agree,3190,1928,1262,0.6043887147335423
Quinnipiac University,reference,center,disagree,682,248,434,0.36363636363636365
RedBlueDictionary.org,reference,mixed,somewhat agree,288,159,129,0.5520833333333334
Stimson Center,reference,center,somewhat agree,9,5,4,0.5555555555555556
Sunlight Foundation,reference,center,somewhat disagree,297,135,162,0.45454545454545453
The Thread,reference,mixed,somewhat agree,75,38,37,0.5066666666666667
United States Courts,reference,center,somewhat disagree,521,217,304,0.4165067178502879
Wikipedia,reference,center,somewhat disagree,2412,1175,1237,0.48714759535655056
ABC News (Online),news,lean left,agree,47322,31116,16206,0.6575377202992265
Above The Law,news,lean left,strongly agree,292,209,83,0.7157534246575342
Abridge News,news,mixed,agree,550,346,204,0.6290909090909091
AJ+,news,left,strongly agree,624,468,156,0.75
Al Jazeera,news,lean left,disagree,11762,4622,7140,0.39296038088760415
AllSides,news,mixed,strongly agree,5629,4037,1592,0.7171788950079944
AllSides Community,news,mixed,agree,4005,2551,1454,0.6369538077403246
AlterNet,news,left,absolutely agree,13857,11474,2383,0.8280291549397416
American Greatness,news,right,strongly agree,552,407,145,0.7373188405797102
American Thinker,news,right,agree,2824,1840,984,0.6515580736543909
AP Politics & Fact Check,news,lean left,somewhat disagree,6396,2877,3519,0.449812382739212
Aquinas College Saint,news,left,agree,1586,966,620,0.6090794451450189
Arkansas Democrat-Gazette,news,left,somewhat agree,1806,1030,776,0.5703211517165006
Associated Press,news,center,somewhat agree,40323,23175,17148,0.5747340227661633
Atlanta Black Star,news,lean left,disagree,139,48,91,0.34532374100719426
Atlanta Journal-Constitution,news,lean left,somewhat agree,1970,1035,935,0.5253807106598984
Austin American-Statesman,news,lean left,somewhat agree,1560,866,694,0.5551282051282052
Axios,news,center,somewhat disagree,9019,4412,4607,0.48918948885685776
AZ Central,news,center,disagree,494,192,302,0.38866396761133604
Babylon Bee (Humor),news,lean right,absolutely agree,549,416,133,0.7577413479052824
Barnstable Patriot,news,center,somewhat disagree,1218,563,655,0.46223316912972084
BBC News,news,center,somewhat agree,48173,25965,22208,0.5389948726465033
Bearing Drift,news,right,somewhat agree,1272,686,586,0.539308176100629
BET,news,lean left,somewhat disagree,562,234,328,0.41637010676156583
Biblical Gender Roles,news,right,absolutely agree,130,105,25,0.8076923076923077
Biblical Sexology,news,right,strongly agree,100,70,30,0.7
Bizpac Review,news,right,strongly agree,96,65,31,0.6770833333333334
Black Enterprise,news,lean left,disagree,136,53,83,0.3897058823529412
Block Club Chicago,news,left,strongly agree,75,51,24,0.68
Bloomberg,news,lean left,somewhat disagree,33529,14000,19529,0.41754898744370544
Blue Virginia,news,left,somewhat agree,1378,807,571,0.5856313497822931
Boing Boing,news,left,agree,1539,937,602,0.6088369070825211
Boston Herald,news,lean right,somewhat agree,972,530,442,0.5452674897119342
Boston Herald Editorial,news,lean right,somewhat agree,564,285,279,0.5053191489361702
Boston Review,news,lean left,somewhat agree,92,49,43,0.532608695652174
Bowling Green Daily News,news,lean left,somewhat disagree,1295,630,665,0.4864864864864865
Braver Angels,news,mixed,somewhat agree,218,125,93,0.573394495412844
Breitbart News,news,right,absolutely agree,45914,35369,10545,0.770331489306094
Bridgemi.com,news,center,somewhat agree,243,137,106,0.5637860082304527
Brown Girl Magazine,news,left,absolutely agree,124,97,27,0.782258064516129
Business Insider,news,center,somewhat disagree,7590,3083,4507,0.40619235836627143
Bustle,news,lean left,somewhat agree,1688,856,832,0.5071090047393365
BuzzFeed News,news,left,strongly agree,29788,21061,8727,0.7070296763797502
C-SPAN,news,center,absolutely agree,5102,3873,1229,0.7591140729125833
CalMatters,news,center,somewhat agree,1395,758,637,0.5433691756272402
CalWatchdog,news,center,somewhat disagree,1188,570,618,0.4797979797979798
Care2,news,left,somewhat disagree,1292,630,662,0.48761609907120745
CBN,news,right,agree,10399,6890,3509,0.6625637080488509
CBS News,news,lean left,agree,27714,16820,10894,0.6069134733347766
Center - Major Media Sources,news,center,somewhat agree,1282,687,595,0.5358814352574103
Center for Public Integrity,news,lean left,somewhat disagree,1566,719,847,0.4591315453384419
Centre View,news,lean left,somewhat disagree,1293,615,678,0.4756380510440835
Check Your Fact,news,lean right,somewhat disagree,279,118,161,0.4229390681003584
Chicago Crusader,news,left,absolutely agree,66,52,14,0.7878787878787878
Chicago Defender,news,left,strongly agree,109,80,29,0.7339449541284404
Chicago Sun-Times,news,lean left,somewhat disagree,1714,849,865,0.4953325554259043
Chicago Tribune,news,center,disagree,5805,2045,3760,0.35228251507321273
Christian Science Monitor,news,center,somewhat disagree,32220,14338,17882,0.44500310366232154
Christianity Today,news,lean right,disagree,431,171,260,0.39675174013921116
City Journal,news,right,somewhat agree,830,460,370,0.5542168674698795
CNBC,news,center,strongly disagree,8557,2660,5897,0.3108566086245179
CNET,news,center,somewhat agree,800,435,365,0.54375
CNN (Online News),news,left,somewhat disagree,89448,44145,45303,0.4935269653877113
CNN (Opinion),news,left,absolutely agree,34254,27922,6332,0.8151456764173527
CNSNews.com,news,right,somewhat agree,1724,957,767,0.5551044083526682
Columbia Journalism Review,news,center,disagree,700,242,458,0.3457142857142857
Columbia Missourian,news,center,agree,35,22,13,0.6285714285714286
Commentary Magazine,news,right,somewhat agree,525,264,261,0.5028571428571429
Common Dreams,news,left,absolutely agree,90,70,20,0.7777777777777778
Concord Monitor,news,center,somewhat disagree,105,51,54,0.4857142857142857
Conservative HQ,news,right,strongly agree,1330,910,420,0.6842105263157895
Cook Report,news,center,agree,1575,950,625,0.6031746031746031
Counter Currents,news,lean left,somewhat agree,658,376,282,0.5714285714285714
Counterpointing,news,mixed,somewhat agree,786,407,379,0.5178117048346056
CrowdPAC,news,center,somewhat disagree,912,444,468,0.4868421052631579
CU Independent,news,center,somewhat disagree,835,381,454,0.4562874251497006
Current Affairs,news,left,strongly agree,617,427,190,0.6920583468395461
Daily Beast,news,left,strongly agree,22616,16946,5670,0.7492925362575168
Daily Breeze,news,center,strongly disagree,47,15,32,0.3191489361702128
Daily Cardinal,news,center,somewhat disagree,933,448,485,0.48017148981779206
Daily Chela,news,left,somewhat agree,65,35,30,0.5384615384615384
Daily Citizen,news,right,strongly agree,87,59,28,0.6781609195402298
Daily Kos,news,left,strongly agree,7711,5635,2076,0.7307742186486837
Daily Mail,news,right,agree,15272,9790,5482,0.641042430591933
Daily Northwestern,news,lean left,somewhat disagree,824,402,422,0.4878640776699029
Daily Press,news,lean right,somewhat disagree,900,399,501,0.44333333333333336
Daily Progress,news,center,somewhat disagree,916,449,467,0.490174672489083
Daily Targum,news,lean left,somewhat disagree,708,286,422,0.403954802259887
Defense One,news,center,somewhat agree,622,318,304,0.5112540192926045
Democracy Now,news,left,absolutely agree,14479,11758,2721,0.8120726569514469
Des Moines Register,news,center,somewhat disagree,348,146,202,0.41954022988505746
Deseret News,news,lean right,disagree,3059,1226,1833,0.4007845701209546
Desiring God,news,lean right,somewhat agree,35,18,17,0.5142857142857142
Detroit Free Press,news,lean left,somewhat disagree,560,254,306,0.45357142857142857
Detroit News,news,center,disagree,386,142,244,0.36787564766839376
Diplomatic Courier,news,center,somewhat agree,688,378,310,0.5494186046511628
Drudge Report,news,lean right,somewhat agree,4225,2270,1955,0.5372781065088758
Duke Chronicle,news,center,somewhat agree,868,435,433,0.5011520737327189
East Bay Times,news,lean left,agree,159,103,56,0.6477987421383647
Elle Magazine,news,lean left,agree,50,33,17,0.66
Erraticus,news,center,strongly agree,48,34,14,0.7083333333333334
Esquire,news,left,strongly agree,1776,1189,587,0.6694819819819819
Estes Park Trail Gazette,news,center,somewhat disagree,669,298,371,0.445440956651719
Eurek Alert,news,center,somewhat disagree,784,369,415,0.47066326530612246
Fact Checker Blog,news,center,somewhat agree,1619,839,780,0.5182211241507103
FactCheck.org,news,center,somewhat agree,13941,7460,6481,0.5351122588049638
FAIR,news,lean left,somewhat disagree,1172,580,592,0.4948805460750853
Falls Church News - Press,news,left,somewhat disagree,927,445,482,0.48004314994606256
Financial Times,news,center,agree,1338,808,530,0.6038863976083707
Fiscal Times,news,lean right,somewhat agree,1374,735,639,0.5349344978165939
FiveThirtyEight,news,center,somewhat agree,7550,4405,3145,0.5834437086092715
Forbes,news,center,agree,18565,11827,6738,0.6370589819552922
Foreign Affairs,news,center,agree,1647,1059,588,0.6429872495446266
Foreign Policy,news,center,somewhat disagree,532,253,279,0.4755639097744361
Fortune,news,center,disagree,402,145,257,0.36069651741293535
Fox News (Online News),news,lean right,somewhat disagree,81599,37287,44312,0.4569541293398203
Fox News (Opinion),news,right,absolutely agree,28853,23373,5480,0.8100717429730011
Fox News Latino,news,right,strongly agree,3617,2465,1152,0.6815040088471108
FrontPage Magazine,news,right,somewhat agree,1047,607,440,0.5797516714422158
Gizmodo,news,lean left,somewhat agree,361,202,159,0.5595567867036011
GLAAD,news,lean left,absolutely disagree,185,44,141,0.23783783783783785
Google News,news,lean left,somewhat agree,1404,811,593,0.5776353276353277
GQ.com,news,lean left,somewhat disagree,315,142,173,0.4507936507936508
Grist,news,lean left,somewhat disagree,1058,506,552,0.4782608695652174
Hampton Roads Messanger,news,center,somewhat disagree,826,408,418,0.4939467312348668
Harvard Business School,news,lean left,somewhat disagree,1708,770,938,0.45081967213114754
Heavy.com,news,center,somewhat disagree,267,128,139,0.4794007490636704
Herald Democrat,news,left,somewhat agree,912,505,407,0.5537280701754386
High Times,news,lean left,somewhat agree,57,32,25,0.5614035087719298
Hip Latina,news,left,agree,40,26,14,0.65
Honolulu Civil Beat,news,center,somewhat disagree,884,370,514,0.41855203619909503
HotAir,news,lean right,somewhat agree,2016,1063,953,0.527281746031746
Houston Chronicle,news,center,disagree,287,111,176,0.3867595818815331
How Do We Fix It?,news,center,somewhat agree,1291,661,630,0.512006196746708
HuffPost,news,left,somewhat agree,54556,32727,21829,0.5998790233888115
Idaho Statesman,news,center,somewhat disagree,211,95,116,0.45023696682464454
Inacow,news,right,somewhat agree,722,412,310,0.5706371191135734
Independent Journal Review,news,center,somewhat agree,2466,1280,1186,0.519059205190592
Indiana Daily Student,news,center,somewhat disagree,712,310,402,0.4353932584269663
Indy Online,news,center,somewhat disagree,650,311,339,0.47846153846153844
Indy Week,news,lean left,somewhat disagree,699,333,366,0.47639484978540775
IndyStar,news,center,somewhat disagree,45,19,26,0.4222222222222222
InfoWars,news,right,absolutely agree,6130,5025,1105,0.8197389885807504
Inland Valley Daily Bulletin,news,center,,32,16,16,0.5
Inside Philanthropy,news,center,somewhat disagree,685,322,363,0.47007299270072994
Intellectual Conservative,news,lean right,somewhat disagree,820,385,435,0.4695121951219512
International Business Times,news,center,somewhat agree,1907,1067,840,0.5595175668589407
Investor's Business Daily,news,lean right,somewhat agree,2242,1238,1004,0.552185548617306
IVN,news,center,somewhat agree,937,473,464,0.5048025613660619
Jacobin,news,left,absolutely agree,1063,854,209,0.8033866415804327
Jefferson Public Radio,news,center,agree,26,16,10,0.6153846153846154
Jezebel,news,left,strongly agree,395,289,106,0.7316455696202532
Journalist's Resource,news,center,somewhat disagree,644,304,340,0.4720496894409938
JSTOR Daily,news,center,somewhat agree,50,29,21,0.58
Jubilee Media,news,center,somewhat disagree,502,243,259,0.48406374501992033
Judicial Watch,news,lean right,somewhat disagree,2665,1292,1373,0.4848030018761726
Just The News,news,center,strongly disagree,731,194,537,0.265389876880985
KALW.org,news,center,somewhat disagree,40,18,22,0.45
KATU,news,center,somewhat disagree,195,86,109,0.441025641025641
Kenosha News,news,center,strongly disagree,33,10,23,0.30303030303030304
KQED,news,center,somewhat agree,1033,556,477,0.5382381413359149
KSL,news,right,somewhat agree,1800,963,837,0.535
KWCH,news,center,somewhat agree,25,15,10,0.6
Las Vegas Sun,news,lean left,somewhat disagree,675,337,338,0.49925925925925924
Latino Rebels,news,left,somewhat agree,47,28,19,0.5957446808510638
Law & Crime,news,center,somewhat disagree,40,19,21,0.475
Leafly,news,left,agree,28,17,11,0.6071428571428571
Leesburg Today,news,lean right,somewhat agree,490,254,236,0.5183673469387755
Left - Major Media Sources,news,left,somewhat agree,1075,608,467,0.5655813953488372
LGBTQ Nation,news,lean left,absolutely disagree,231,56,175,0.24242424242424243
Lifehacker,news,center,somewhat agree,788,400,388,0.5076142131979695
Listen First Project,news,mixed,somewhat agree,299,163,136,0.5451505016722408
Live Action News,news,lean right,somewhat agree,586,344,242,0.5870307167235495
Live Science,news,center,somewhat agree,88,49,39,0.5568181818181818
Long Beach Press-Telegram,news,center,strongly disagree,33,10,23,0.30303030303030304
Longmont Times-Call,news,lean left,somewhat agree,414,222,192,0.5362318840579711
Los Angeles Daily News,news,center,absolutely disagree,66,14,52,0.21212121212121213
Los Angeles Times,news,lean left,somewhat agree,8155,4706,3449,0.5770692826486817
Louisville Courier-Journal,news,lean left,somewhat disagree,494,242,252,0.4898785425101215
Making Sense,news,center,agree,33,20,13,0.6060606060606061
Marijuana Moment,news,lean left,somewhat agree,45,26,19,0.5777777777777777
MarketWatch,news,center,strongly disagree,1190,337,853,0.28319327731092436
Mashable,news,left,strongly agree,802,562,240,0.7007481296758105
McClatchyDC,news,center,somewhat disagree,247,105,142,0.4251012145748988
Media Matters,news,left,agree,4601,2931,1670,0.6370354270810693
Media Research Center,news,right,somewhat disagree,3083,1404,1679,0.45540058384690235
Mediaite,news,lean left,somewhat agree,1673,844,829,0.5044829647340108
Miami Herald,news,lean left,somewhat disagree,801,394,407,0.4918851435705368
MichelleMalkin.com,news,right,strongly agree,958,639,319,0.6670146137787056
Michigan Daily,news,lean left,somewhat agree,532,276,256,0.518796992481203
Military Times,news,center,somewhat agree,189,95,94,0.5026455026455027
Misinformation Review,news,center,somewhat disagree,35,17,18,0.4857142857142857
Mismatch.org,news,mixed,somewhat disagree,239,116,123,0.48535564853556484
MIT News,news,center,somewhat agree,517,281,236,0.5435203094777563
Mitú,news,left,somewhat agree,35,20,15,0.5714285714285714
Mother Jones,news,left,absolutely agree,15351,13382,1969,0.871734740407791
MSNBC,news,left,absolutely agree,22698,17902,4796,0.7887038505595206
MTV News Online,news,lean left,disagree,357,135,222,0.37815126050420167
National Geographic,news,center,somewhat agree,133,78,55,0.5864661654135338
National Journal,news,center,somewhat agree,1817,1033,784,0.5685195376995047
National Review,news,right,strongly agree,23896,16937,6959,0.7087797120857047
Nature.com,news,center,agree,150,97,53,0.6466666666666666
NBC News (Online),news,lean left,somewhat disagree,21132,10517,10615,0.4976812417187204
NBC Today Show,news,lean left,somewhat disagree,3100,1516,1584,0.4890322580645161
New Discourses,news,center,agree,133,84,49,0.631578947368421
New Hampshire Union Leader,news,center,somewhat disagree,118,54,64,0.4576271186440678
New Republic,news,left,agree,2416,1592,824,0.6589403973509934
New York Daily News,news,left,strongly agree,2008,1384,624,0.6892430278884463
New York Magazine,news,left,strongly agree,3122,2178,944,0.6976297245355542
New York Post (News),news,lean right,agree,18475,11887,6588,0.6434100135317997
New York Post (Opinion),news,right,strongly agree,266,188,78,0.706766917293233
New York Times (News),news,lean left,somewhat disagree,62216,26233,35983,0.4216439501092966
New York Times (Opinion),news,left,absolutely agree,15282,11990,3292,0.7845831697421803
NewsBusters,news,right,agree,790,511,279,0.6468354430379747
Newsmax (News),news,lean right,somewhat disagree,19815,9400,10415,0.47438808983093617
Newsmax - Opinion,news,right,strongly agree,479,352,127,0.7348643006263048
NewsOne,news,left,strongly agree,309,222,87,0.7184466019417476
Newsweek,news,center,somewhat disagree,6816,2943,3873,0.4317781690140845
Newsy,news,center,strongly agree,357,254,103,0.711484593837535
Newtrals,news,center,strongly agree,26,18,8,0.6923076923076923
Nieman Lab,news,center,somewhat disagree,127,62,65,0.4881889763779528
NMPolitics.net,news,center,somewhat disagree,510,224,286,0.4392156862745098
NPR (Online News),news,center,somewhat agree,55241,29341,25900,0.5311453449430676
NPR (Opinion),news,lean left,somewhat disagree,14748,6981,7767,0.4733523189585028
One America News Network (OAN),news,right,agree,3414,2092,1322,0.6127709431751611
Orange County Register,news,lean right,somewhat agree,652,361,291,0.553680981595092
Our.News,news,center,somewhat agree,7,4,3,0.5714285714285714
Outkick the Coverage,news,center,strongly disagree,24,6,18,0.25
Pacific Standard,news,lean left,somewhat agree,821,432,389,0.5261875761266748
Palm Springs Desert Sun,news,center,absolutely disagree,17,4,13,0.23529411764705882
Pasadena Star-News,news,center,somewhat agree,26,15,11,0.5769230769230769
Patch.com,news,center,strongly disagree,50,16,34,0.32
PBS NewsHour,news,center,somewhat agree,5666,3280,2386,0.5788916343099189
Peacock Panache,news,left,agree,326,210,116,0.6441717791411042
Phys.org,news,center,agree,294,191,103,0.6496598639455783
PinkNews,news,left,absolutely agree,93,75,18,0.8064516129032258
Pittsburgh Post-Gazette,news,lean right,somewhat disagree,718,335,383,0.46657381615598886
PJ Media,news,right,strongly agree,927,655,272,0.7065803667745415
Politico,news,lean left,somewhat disagree,49922,21546,28376,0.43159328552541965
PoliticusUSA,news,left,strongly agree,1468,1093,375,0.7445504087193461
PolitiFact,news,lean left,somewhat agree,9293,5209,4084,0.5605294307543313
Portland Press Herald,news,center,somewhat disagree,669,271,398,0.40508221225710017
Poynter,news,center,strongly disagree,294,98,196,0.3333333333333333
PRI (Public Radio International),news,center,agree,1283,778,505,0.6063912704598597
Progressive Voices of Iowa,news,left,agree,414,258,156,0.6231884057971014
Project Veritas,news,lean right,somewhat disagree,675,315,360,0.4666666666666667
ProPublica,news,lean left,somewhat agree,2594,1547,1047,0.5963762528912876
Psychology Today,news,center,,178,89,89,0.5
PXW News,news,center,somewhat disagree,437,212,225,0.4851258581235698
Quartz,news,center,somewhat disagree,1377,675,702,0.49019607843137253
Quillette,news,lean right,disagree,1333,522,811,0.3915978994748687
Rasmussen Reports,news,center,somewhat disagree,1512,619,893,0.4093915343915344
Raw Story,news,left,strongly agree,1685,1170,515,0.6943620178041543
RealClearPolitics,news,center,somewhat disagree,9339,4231,5108,0.4530463647071421
Reason,news,lean right,agree,13605,8435,5170,0.6199926497611172
Record Journal,news,center,somewhat disagree,339,163,176,0.4808259587020649
Red Racing Horses,news,right,somewhat disagree,112,51,61,0.45535714285714285
Red State,news,right,strongly agree,1130,827,303,0.731858407079646
Redlands Daily Facts,news,center,disagree,17,6,11,0.35294117647058826
Refinery29,news,left,agree,71,47,24,0.6619718309859155
Reuters,news,center,agree,24330,15845,8485,0.6512535963830661
Richmond Times Dispatch,news,lean right,somewhat agree,534,285,249,0.5337078651685393
Right - Major Media Sources,news,right,somewhat agree,637,327,310,0.5133437990580848
Right Side News,news,right,agree,757,503,254,0.6644649933949802
Right Wing News,news,right,strongly agree,660,442,218,0.6696969696969697
Roll Call,news,center,somewhat agree,432,227,205,0.5254629629629629
RollingStone.com,news,left,absolutely agree,2287,1785,502,0.7804984696108439
Salon,news,left,strongly agree,16665,11499,5166,0.69000900090009
San Bernardino Sun,news,center,strongly agree,22,16,6,0.7272727272727273
San Diego Union-Tribune,news,lean left,somewhat disagree,37,18,19,0.4864864864864865
San Francisco Chronicle,news,left,strongly agree,1452,1056,396,0.7272727272727273
San Gabriel Valley Tribune,news,center,somewhat agree,34,19,15,0.5588235294117647
San Jose Mercury News,news,lean left,somewhat disagree,974,479,495,0.4917864476386037
Science Daily,news,center,agree,895,555,340,0.6201117318435754
Scientific American,news,lean left,agree,2372,1538,834,0.648397976391231
SCOTUSblog,news,center,somewhat agree,32,19,13,0.59375
Scriberr Media - News,news,center,agree,88,53,35,0.6022727272727273
Scriberr Media - Opinion/Editorial,news,lean right,somewhat agree,24,13,11,0.5416666666666666
SF Weekly,news,center,somewhat disagree,667,294,373,0.4407796101949025
SFGate,news,lean left,somewhat disagree,1093,529,564,0.4839890210430009
Sky-Hi Daily News,news,lean left,somewhat agree,341,173,168,0.5073313782991202
Slate,news,left,strongly agree,11460,8211,3249,0.7164921465968587
Smerconish,news,center,somewhat disagree,505,222,283,0.4396039603960396
Smithsonian Magazine,news,center,agree,104,66,38,0.6346153846153846
Snopes,news,center,strongly disagree,4925,1493,3432,0.30314720812182744
Socialist Alternative,news,left,strongly agree,726,503,223,0.6928374655647382
Socialist Project/The Bullet,news,left,strongly agree,642,443,199,0.6900311526479751
South China Morning Post,news,center,strongly disagree,57,16,41,0.2807017543859649
Spectator USA,news,right,agree,193,124,69,0.6424870466321243
Spiked,news,lean right,somewhat agree,55,28,27,0.509090909090909
Splinter,news,left,strongly agree,352,240,112,0.6818181818181818
Spokesman Review,news,lean left,somewhat disagree,543,248,295,0.4567219152854512
State Journal,news,lean left,somewhat disagree,493,205,288,0.4158215010141988
StoryCorps,news,mixed,somewhat agree,187,102,85,0.5454545454545454
Students For Life,news,lean right,somewhat disagree,39,17,22,0.4358974358974359
Subverse,news,center,agree,191,122,69,0.6387434554973822
Suspend Belief Podcast,news,mixed,somewhat disagree,368,170,198,0.46195652173913043
Tallahassee Democrat,news,center,somewhat disagree,574,279,295,0.48606271777003485
Tech Xplore,news,center,,24,12,12,0.5
TechCrunch,news,center,somewhat agree,806,478,328,0.5930521091811415
Teen Vogue,news,lean left,disagree,1003,397,606,0.39581256231306083
The Advocate,news,lean left,disagree,48,18,30,0.375
The Advocate-Messenger,news,lean left,somewhat disagree,462,206,256,0.4458874458874459
The American Conservative,news,lean right,somewhat disagree,604,297,307,0.4917218543046358
The American Mind,news,lean right,somewhat agree,59,30,29,0.5084745762711864
The American Spectator,news,right,strongly agree,15087,11210,3877,0.7430237953204746
The Appeal,news,center,somewhat agree,172,96,76,0.5581395348837209
The Atlantic,news,lean left,agree,19693,12910,6783,0.6555628903671356
The Bellows,news,center,strongly disagree,9,3,6,0.3333333333333333
The Boston Globe,news,lean left,somewhat agree,2958,1691,1267,0.5716700473292765
The Bulwark,news,lean right,somewhat agree,90,52,38,0.5777777777777777
The Cadiz Record,news,lean left,somewhat disagree,390,193,197,0.4948717948717949
The Canyon County Zephyr,news,left,somewhat agree,340,187,153,0.55
The Center Square - Michigan,news,center,disagree,204,75,129,0.36764705882352944
The Christian Post,news,lean right,somewhat agree,25,14,11,0.56
The College Fix,news,right,somewhat agree,415,237,178,0.5710843373493976
The Colorado Sun,news,lean left,somewhat agree,42,23,19,0.5476190476190477
The Commercial Appeal,news,lean left,somewhat disagree,417,179,238,0.4292565947242206
The Courier-Journal,news,lean left,somewhat disagree,526,214,312,0.4068441064638783
The Daily Caller,news,right,strongly agree,12519,8917,3602,0.7122773384455627
The Daily Dot,news,lean left,somewhat agree,211,112,99,0.5308056872037915
The Daily Signal,news,right,strongly agree,675,483,192,0.7155555555555555
The Daily Wire,news,right,strongly agree,11886,8722,3164,0.7338044758539458
The Dallas Morning News,news,center,somewhat agree,413,215,198,0.5205811138014528
The Delaware County Daily Times,news,lean left,somewhat disagree,463,214,249,0.46220302375809935
The Dispatch,news,lean right,agree,251,161,90,0.6414342629482072
The Economist,news,lean left,disagree,13508,4857,8651,0.35956470239857863
The Epoch Times,news,lean right,strongly agree,13613,9608,4005,0.7057959303606847
The Federalist,news,right,absolutely agree,10214,7806,2408,0.7642451537105933
The Flip Side,news,mixed,somewhat agree,689,399,290,0.579100145137881
The Fulcrum,news,center,somewhat agree,272,139,133,0.5110294117647058
The Gateway Pundit,news,right,agree,1394,905,489,0.6492109038737446
The Globe and Mail,news,center,somewhat disagree,232,108,124,0.46551724137931033
The Guardian,news,lean left,agree,19059,11971,7088,0.6281022089301642
The Hill,news,center,somewhat disagree,32800,14176,18624,0.4321951219512195
The Hollywood Reporter,news,lean left,somewhat agree,56,29,27,0.5178571428571429
The Imaginative Conservative,news,right,somewhat agree,138,82,56,0.5942028985507246
The Independent,news,lean left,somewhat agree,768,444,324,0.578125
The Intercept,news,left,absolutely agree,5808,4497,1311,0.7742768595041323
The Japan Times,news,center,agree,27,17,10,0.6296296296296297
The Jerusalem Post,news,center,somewhat disagree,493,246,247,0.49898580121703856
The Juggernaut,news,left,agree,18,11,7,0.6111111111111112
The Justice,news,lean left,somewhat disagree,314,153,161,0.4872611464968153
The Korea Herald,news,center,somewhat agree,349,204,145,0.5845272206303725
The Libertarian Republic,news,lean right,somewhat agree,1602,874,728,0.5455680399500624
The Lincoln Project,news,mixed,absolutely disagree,148,27,121,0.18243243243243243
The Lufkin Daily News,news,center,agree,11,7,4,0.6363636363636364
The Maneater,news,lean left,somewhat agree,17,10,7,0.5882352941176471
The Markup,news,center,somewhat disagree,17,7,10,0.4117647058823529
The Marshall Project,news,center,somewhat disagree,83,34,49,0.40963855421686746
The Nation,news,left,absolutely agree,1884,1430,454,0.7590233545647559
The National Pulse,news,right,absolutely agree,432,352,80,0.8148148148148148
The New Yorker,news,left,absolutely agree,9890,7970,1920,0.8058645096056622
The Observer (New York),news,center,disagree,664,241,423,0.3629518072289157
The Onion (Humor),news,lean left,agree,399,259,140,0.6491228070175439
The Oracle,news,center,somewhat disagree,235,104,131,0.4425531914893617
The Oregonian,news,center,strongly disagree,87,24,63,0.27586206896551724
The Philadelphia Inquirer,news,lean left,somewhat agree,410,206,204,0.5024390243902439
The Plebeian,news,lean left,somewhat agree,65,34,31,0.5230769230769231
The Police Tribune,news,lean right,somewhat agree,78,46,32,0.5897435897435898
The Post Millennial,news,lean right,somewhat agree,489,292,197,0.5971370143149284
The Press-Enterprise,news,lean right,disagree,17,6,11,0.35294117647058826
The Red and Black,news,center,somewhat agree,320,187,133,0.584375
The Reliable Bias,news,center,somewhat disagree,313,140,173,0.4472843450479233
The Republican,news,center,strongly disagree,724,235,489,0.324585635359116
The Resurgent,news,right,somewhat agree,229,131,98,0.5720524017467249
The Root,news,lean left,somewhat disagree,864,393,471,0.4548611111111111
The Sacramento Bee,news,lean left,somewhat disagree,725,333,392,0.4593103448275862
The Saturday Evening Post,news,center,somewhat agree,360,209,151,0.5805555555555556
The Seattle Times,news,center,disagree,427,155,272,0.3629976580796253
The Telegraph - UK,news,lean right,strongly agree,2100,1414,686,0.6733333333333333
The Tennesseean,news,center,somewhat agree,11,6,5,0.5454545454545454
The Texan,news,lean right,somewhat agree,214,124,90,0.5794392523364486
The Texas Observer,news,lean left,somewhat disagree,129,62,67,0.4806201550387597
The Texas Tribune,news,lean left,agree,344,225,119,0.6540697674418605
The Verge,news,lean left,agree,1219,742,477,0.6086956521739131
The Week - News,news,center,somewhat agree,6658,3643,3015,0.5471613097026135
The Week - Opinion,news,lean left,somewhat agree,250,141,109,0.564
The Weekly Standard,news,right,agree,2165,1346,819,0.6217090069284065
The Western Journal,news,right,strongly agree,2099,1564,535,0.7451167222486899
TheBlaze.com,news,right,somewhat agree,171421,94394,77027,0.550655987306106
ThinkProgress,news,left,absolutely agree,3628,2732,896,0.75303197353914
